Exercise 13

List the date difference, in days, 
between AddressBook creation and modification dates
==================================================================

mysql> SELECT DATEDIFF(createdOn,modifiedOn) FROM AddressBook LIMIT 100;    
+--------------------------------+
| DATEDIFF(createdOn,modifiedOn) |
+--------------------------------+
|                            -18 |
|                            477 |
|                            -43 |
|                            177 |
|                            447 |
|                            -53 |
|                            -28 |
|                            523 |
|                           -305 |
|                             13 |
|                           -446 |
|                            -57 |
|                            651 |
|                            684 |
|                            391 |
|                            -43 |
|                            407 |
|                            576 |
|                            185 |
|                            189 |
|                            -12 |
|                            258 |
|                            410 |
|                           -212 |
|                            430 |
|                            554 |
|                           -347 |
|                           -474 |
|                           -286 |
|                           -259 |
|                           -521 |
|                            285 |
|                            228 |
|                           -277 |
|                           -207 |
|                           -444 |
|                            274 |
|                           -359 |
|                            288 |
|                            414 |
|                            179 |
|                             47 |
|                            251 |
|                            -60 |
|                            -81 |
|                             73 |
|                            353 |
|                            137 |
|                            225 |
|                            100 |
|                            422 |
|                           -606 |
|                            432 |
|                            527 |
|                           -243 |
|                            154 |
|                           -339 |
|                            301 |
|                            237 |
|                            -50 |
|                             43 |
|                           -125 |
|                           -435 |
|                            381 |
|                            253 |
|                            166 |
|                           -172 |
|                           -112 |
|                           -204 |
|                           -138 |
|                           -516 |
|                           -266 |
|                            602 |
|                            -33 |
|                           -104 |
|                            -26 |
|                           -226 |
|                           -176 |
|                            581 |
|                           -129 |
|                           -625 |
|                             68 |
|                           -270 |
|                            380 |
|                            317 |
|                           -298 |
|                            -74 |
|                           -548 |
|                           -566 |
|                            -99 |
|                           -236 |
|                           -398 |
|                           -218 |
|                            452 |
|                            409 |
|                            430 |
|                             -8 |
|                            404 |
|                            424 |
|                            528 |
+--------------------------------+
100 rows in set (0.00 sec)
